index,id,title,type,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes
271,tm154187,Sherlock Holmes,MOVIE,2009,PG-13,129,tt0988045,7.6,620154
272,tm133767,Love Actually,MOVIE,2003,R,139,tt0314331,7.6,474176
273,tm88738,Closer,MOVIE,2004,R,94,tt0376541,7.2,215678
274,ts17942,Chappelle's Show,SHOW,2003,TV-14,21,tt0353049,8.8,62140
275,tm148270,Something's Gotta Give,MOVIE,2003,PG-13,128,tt0337741,6.7,120400
276,tm93055,Grown Ups,MOVIE,2010,PG-13,102,tt1375670,5.9,247229
277,tm133374,The Blind Side,MOVIE,2009,PG-13,129,tt0878804,7.6,323939
278,tm26897,Quantum of Solace,MOVIE,2008,PG-13,106,tt0830515,6.6,441023
279,tm109304,The Ring,MOVIE,2002,PG-13,111,tt0298130,7.1,341888
280,ts22267,Trailer Park Boys,SHOW,2001,TV-MA,25,tt0290988,8.6,41791
281,tm76066,Into the Wild,MOVIE,2007,R,140,tt0758758,8.1,611379
282,tm90190,True Grit,MOVIE,2010,PG-13,110,tt1403865,7.6,333378
283,tm29737,Rambo,MOVIE,2008,R,92,tt0462499,7,228799
284,tm84906,Stardust,MOVIE,2007,PG-13,122,tt0486655,7.6,269043
285,ts6644,Borgen,SHOW,2010,TV-MA,58,tt1526318,8.5,23523
286,tm142086,The Last Samurai,MOVIE,2003,R,154,tt0325710,7.8,429097
287,ts22018,iCarly,SHOW,2007,TV-G,26,tt0972534,6.7,38281
288,ts30311,Victorious,SHOW,2010,TV-G,25,tt1604099,6.9,24224
289,tm95252,The Book of Eli,MOVIE,2010,R,118,tt1037705,6.8,312538
290,tm136808,Identity,MOVIE,2003,R,90,tt0340770,7.3,240433
291,ts21197,Merlin,SHOW,2008,TV-PG,44,tt1199099,7.9,80138
292,tm109137,Shrek Forever After,MOVIE,2010,PG,93,tt0892791,6.3,200354
293,tm84613,Hairspray,MOVIE,2007,PG,117,tt0427327,6.7,128190
294,tm173551,Corpse Bride,MOVIE,2005,PG,77,tt0121164,7.3,265023
295,tm94606,Let Me In,MOVIE,2010,R,116,tt1228987,7.1,120208
296,tm136308,Monster,MOVIE,2003,R,110,tt0340855,7.3,149218
297,tm82985,Without a Paddle,MOVIE,2004,PG-13,95,tt0364751,5.8,47049
298,tm145593,Once Upon a Time in Mexico,MOVIE,2003,R,102,tt0285823,6.3,160449
299,tm150260,Cloudy with a Chance of Meatballs,MOVIE,2009,PG,90,tt0844471,6.9,226225
300,ts30313,Offspring,SHOW,2010,,44,tt1530541,8.3,4764
301,tm119111,Blade II,MOVIE,2002,R,117,tt0187738,6.7,214461
302,tm130647,Chloe,MOVIE,2009,R,99,tt1352824,6.3,72916
303,tm32919,Blood Diamond,MOVIE,2006,R,143,tt0450259,8,536858
304,tm23935,The Lake House,MOVIE,2006,PG,105,tt0410297,6.8,148043
305,tm137143,Terminator 3: Rise of the Machines,MOVIE,2003,R,109,tt0181852,6.3,393998
306,tm28905,Beerfest,MOVIE,2006,R,110,tt0486551,6.2,67748
307,tm44486,Heist,MOVIE,2001,R,107,tt0252503,6.5,36361
308,tm39487,Catch and Release,MOVIE,2006,PG-13,111,tt0395495,5.9,26157
309,tm169949,Just Like Heaven,MOVIE,2005,PG-13,95,tt0425123,6.7,106755
310,ts35155,Gurren Lagann,SHOW,2007,TV-14,24,tt0948103,8.3,17024
311,tm184913,Four Brothers,MOVIE,2005,R,109,tt0430105,6.8,144656
312,tm118637,John Q,MOVIE,2002,PG-13,116,tt0251160,7,131999
313,tm58382,Not Another Teen Movie,MOVIE,2001,R,89,tt0277371,5.7,104604
314,tm40009,21,MOVIE,2008,PG-13,123,tt0478087,6.8,247039
315,ts12787,Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24,tt0994314,8.7,62367
316,tm154470,Terminator Salvation,MOVIE,2009,PG-13,110,tt0438488,6.5,357557
317,tm22294,Deck the Halls,MOVIE,2006,PG,93,tt0790604,5,27797
318,tm78067,The Girl Next Door,MOVIE,2007,R,91,tt0830558,6.5,26035
319,tm148379,The Cat in the Hat,MOVIE,2003,PG,81,tt0312528,4,81971
320,tm21467,Final Destination 3,MOVIE,2006,R,93,tt0414982,5.8,139797
321,tm46436,Thir13en Ghosts,MOVIE,2001,R,91,tt0245674,5.6,86492
322,tm57190,The One,MOVIE,2001,PG-13,87,tt0267804,5.9,91584
323,tm37546,Happy Feet,MOVIE,2006,PG,108,tt0366548,6.4,182612
324,tm30205,Ip Man,MOVIE,2008,R,108,tt1220719,8,221095
325,tm159310,Coach Carter,MOVIE,2005,PG-13,130,tt0393162,7.3,143670
326,tm89592,Blade: Trinity,MOVIE,2004,R,106,tt0359013,5.8,175210
327,tm167516,Monster-in-Law,MOVIE,2005,PG-13,101,tt0369735,5.5,60693
328,tm79895,Halloween,MOVIE,2007,R,109,tt0373883,6,118815
329,tm88045,How Do You Know,MOVIE,2010,PG-13,121,tt1341188,5.4,49599
330,tm111600,The Sweetest Thing,MOVIE,2002,R,84,tt0253867,5.1,58516
331,tm143938,The Final Destination,MOVIE,2009,R,82,tt1144884,5.1,104166
332,tm31187,The Other Boleyn Girl,MOVIE,2008,PG-13,115,tt0467200,6.7,111694
333,tm141390,Friday the 13th,MOVIE,2009,R,97,tt0758746,5.5,105938
334,tm74780,The Bucket List,MOVIE,2007,PG-13,97,tt0825232,7.4,242733
335,tm150214,Freddy vs. Jason,MOVIE,2003,R,97,tt0329101,5.7,117986
336,ts21544,Transformers: Prime,SHOW,2010,TV-Y7,22,tt1659175,7.9,6500
337,tm176528,Memoirs of a Geisha,MOVIE,2005,PG-13,145,tt0397535,7.3,146847
338,tm102337,A Nightmare on Elm Street,MOVIE,2010,R,95,tt1179056,5.2,99192
339,tm36188,Body of Lies,MOVIE,2008,R,128,tt0758774,7.1,224896
340,tm88382,A Cinderella Story,MOVIE,2004,PG,95,tt0356470,5.9,86395
341,ts31263,The Mole,SHOW,2001,TV-14,52,tt0294149,7.6,1104
342,tm47523,Osmosis Jones,MOVIE,2001,PG,95,tt0181739,6.3,35711
343,tm24088,Scary Movie 4,MOVIE,2006,PG-13,83,tt0362120,5.1,120188
344,tm137362,The Texas Chainsaw Massacre,MOVIE,2003,R,98,tt0324216,6.2,140741
345,tm177068,Fun with Dick and Jane,MOVIE,2005,PG-13,90,tt0369441,6.1,143998
346,tm82442,TMNT,MOVIE,2007,PG,87,tt0453556,6.2,64062
